7d	reserved for non-commercial use	non-commercial
00 01 0b	Sonic Foundry	Sonic Foundry
00 01 0c	Line 6 (Fast Forward)	Line 6 (Fast Forward)
00 01 0d	Beatnik Inc	Beatnik Inc
00 01 0e	Van Koevering Company	Van Koevering Company
00 01 0f	Altech Systems	Altech Systems
00 01 10	S & S Research	S & S Research
00 01 11	VLSI Technology	VLSI Technology
00 01 12	Chromatic Research	Chromatic Research
00 01 13	Sapphire	Sapphire
00 01 14	IDRC	IDRC
00 01 15	Justonic Tuning	Justonic Tuning
00 01 16	TorComp Research Inc.	TorComp Research Inc.
00 01 17	Newtek Inc.	Newtek Inc.
00 01 18	Sound Sculpture	Sound Sculpture
00 01 19	Walker Technical	Walker Technical
00 01 1a	Digital Harmony (PAVO)	Digital Harmony (PAVO)
00 01 1b	InVision Interactive	InVision Interactive
00 01 1c	T-Square Design	T-Square Design
00 01 1d	Nemesys Music Technology	Nemesys Music Technology
00 01 1e	DBX Professional (Harman Intl)	DBX Professional (Harman Intl)
00 01 1f	Syndyne Corporation	Syndyne Corporation
00 01 20	Bitheadz	Bitheadz
00 01 21	Cakewalk Music Software	Cakewalk Music Software
00 01 22	Analog Devices	Analog Devices
00 01 23	National Semiconductor	National Semiconductor
00 01 24	Boom Theory / Adinolfi Alternative Percussion	Boom Theory / Adinolfi Alternative Percussion
00 01 25	Virtual DSP Corporation	Virtual DSP Corporation
00 01 26	Antares Systems	Antares Systems
00 01 27	Angel Software	Angel Software
00 01 28	St Louis Music	St Louis Music
00 01 29	Lyrrus dba G-VOX	Lyrrus dba G-VOX
00 01 2a	Ashley Audio Inc.	Ashley Audio Inc.
00 01 2b	Vari-Lite Inc.	Vari-Lite Inc.
00 01 2c	Summit Audio Inc.	Summit Audio Inc.
00 01 2d	Aureal Semiconductor Inc.	Aureal Semiconductor Inc.
00 01 2e	SeaSound LLC	SeaSound LLC
00 01 2f	U.S. Robotics	U.S. Robotics
00 01 30	Aurisis Research	Aurisis Research
00 01 31	Nearfield Research	Nearfield Research
00 01 32	FM7 Inc	FM7 Inc
00 01 33	Swivel Systems	Swivel Systems
00 01 34	Hyperactive Audio Systems	Hyperactive Audio Systems
00 01 35	MidiLite (Castle Studios Productions)	MidiLite (Castle Studios Productions)
00 01 36	Radikal Technologies	Radikal Technologies
00 01 37	Roger Linn Design	Roger Linn Design
00 01 38	TC-Helicon Vocal Technologies	TC-Helicon Vocal Technologies
00 01 39	Event Electronics	Event Electronics
00 01 3a	Sonic Network Inc	Sonic Network Inc
00 01 3b	Realtime Music Solutions	Realtime Music Solutions
00 01 3c	Apogee Digital	Apogee Digital
00 01 3d	Classical Organs, Inc.	Classical Organs, Inc.
00 01 3e	Microtools Inc.	Microtools Inc.
00 01 3f	Numark Industries	Numark Industries
